id;release;ReleaseHumanDate;#TotalChanges;growth;maintenance;Norm. growth;Norm.maintenance;growth;maintenance;schemaSize;firstCommit;firstCommitDate;lastCommit;lastCommitDate;#Commits
0;Start_Of_Project;25-Feb-2002;2;-;2;0;0.012269939;-;Low;21;1014631726.sql;1014631726;1014631726.sql;1014631726;1
1;refs/tags/odba-initial-schema-working;26-Feb-2002;39;-;39;0;0.239263804;-;Low;21;1014707807.sql;1014707807;1020121353.sql;1020121353;6
2;refs/tags/GNF-v0_01;13-Aug-2002;67;-;67;0;0.411042945;-;Medium;19;1031164716.sql;1031164716;1034619576.sql;1034619576;7
3;refs/tags/biosql-generated-sql-0-01;14-Oct-2002;18;5;11;0.192307692;0.067484663;Medium;Low;19;1034907910.sql;1034907910;1038213294.sql;1038213294;4
4;refs/tags/GNF-v0_11;29-Jan-2003;6;-;6;0;0.036809816;-;Low;19;1045468374.sql;1045468374;1045475435.sql;1045475435;2
5;refs/tags/before-singapore-change;17-Feb-2003;249;26;163;1;1;High;High;27;1045603387.sql;1045603387;1054073713.sql;1054073713;14
6;refs/tags/GNF-v0_90;29-May-2003;0;-;-;0;0;-;-;27;1054456376.sql;1054456376;1054501384.sql;1054501384;2
7;refs/tags/GNF-v0_92;3-Jun-2003;0;-;-;0;0;-;-;27;1054782914.sql;1054782914;1054782914.sql;1054782914;1
8;refs/tags/GNF-v0_98;8-Jul-2003;2;2;0;0.076923077;0;Low;Low;28;1096853196.sql;1096853196;1096853196.sql;1096853196;1
9;refs/tags/GNF-v0_99;4-Oct-2004;0;-;-;0;0;-;-;28;1099532981.sql;1099532981;1203733325.sql;1203733325;6
10;refs/tags/biosql-release-1-0-0;5-Mar-2008;2;-;2;0;0.012269939;-;Low;28;1217564276.sql;1217564276;1217564276.sql;1217564276;1
11;refs/tags/biosql-release-1-0-1;2-Aug-2008;0;-;-;0;0;-;-;28;1347272320.sql;1347272320;1347272320.sql;1347272320;1
