id;release;ReleaseHumanDate;#TotalChanges;growth;maintenance;Norm. growth;Norm.maintenance;growth;maintenance;schemaSize;firstCommit;firstCommitDate;lastCommit;lastCommitDate;#Commits
0;refs/tags/cvs/attic/release-0-0;24-May-1999;25;2;23;0.057142857;0.091633466;Low;Medium;18;0939669579.sql;939669579;0942168743.sql;942168743;3
1;refs/tags/cvs/attic/release-1;10-Nov-1999;16;-;16;0;0.06374502;-;Medium;18;0943365716.sql;943365716;0943365844.sql;943365844;2
2;refs/tags/cvs/attic/ensembl_simple_schema_01;23-Nov-1999;107;35;22;1;0.087649402;High;Medium;21;0943366406.sql;943366406;0948990188.sql;948990188;22
3;refs/tags/cvs/attic/branch-ensembl-m1;9-Feb-2000;25;11;4;0.314285714;0.015936255;Medium;Low;20;0950275874.sql;950275874;0950286372.sql;950286372;2
4;refs/tags/cvs/attic/release-ensembl-06;28-Feb-2000;41;-;41;0;0.163346614;-;Medium;21;0954509558.sql;954509558;0958134737.sql;958134737;7
5;refs/tags/cvs/attic/branch-ensembl-07;15-May-2000;24;10;14;0.285714286;0.055776892;Low;Low;23;0959105910.sql;959105910;0960292008.sql;960292008;6
6;refs/tags/cvs/attic/branch-ensembl-06;9-Jun-2000;1;-;1;0;0.003984064;-;Low;23;0960977369.sql;960977369;0961787018.sql;961787018;5
7;refs/tags/cvs/attic/july-1-520-after-fixing-convention-bug;1-Jul-2000;16;-;16;0;0.06374502;-;Medium;23;0963487259.sql;963487259;0963591560.sql;963591560;2
8;refs/tags/cvs/attic/branch-freeze-july-branch-point;18-Jul-2000;0;-;-;0;0;-;-;23;0965037266.sql;965037266;0965037266.sql;965037266;1
9;refs/tags/cvs/attic/temp-before-gene-comparison-removal;25-Aug-2000;37;29;-;0.828571429;0;High;-;27;0967806901.sql;967806901;0970476987.sql;970476987;5
10;refs/tags/cvs/attic/freeze-june-15;4-Oct-2000;15;14;1;0.4;0.003984064;Medium;Low;29;0972813697.sql;972813697;0975065585.sql;975065585;4
11;refs/tags/cvs/attic/data-web-0-7-4;20-Dec-2000;0;-;-;0;0;-;-;29;0978538041.sql;978538041;0978538041.sql;978538041;1
12;refs/tags/cvs/attic/before_07_merge-on-branch-freeze-july-branch;12-Jan-2001;28;27;1;0.771428571;0.003984064;High;Low;33;0979829802.sql;979829802;0981307011.sql;981307011;5
13;refs/tags/cvs/attic/branch-freeze-july;12-Feb-2001;16;4;12;0.114285714;0.047808765;Low;Low;34;0982060366.sql;982060366;0982141804.sql;982141804;3
14;refs/tags/cvs/attic/branch-080-1-branch-point;15-Feb-2001;8;8;0;0.228571429;0;Low;Low;35;0983911028.sql;983911028;0984064962.sql;984064962;2
15;refs/tags/cvs/attic/branch-080-1;14-Mar-2001;23;15;-;0.428571429;0;Medium;-;39;0986134539.sql;986134539;0987000586.sql;987000586;4
16;refs/tags/cvs/attic/PLforeign-b;11-Apr-2001;114;5;107;0.142857143;0.426294821;Low;High;31;0987779676.sql;987779676;0993563808.sql;993563808;21
17;refs/tags/cvs/attic/branch-ensembl-100;9-Jul-2001;2;-;2;0;0.007968127;-;Low;31;0994943405.sql;994943405;0995466236.sql;995466236;3
18;refs/tags/cvs/attic/ensembl-110-temporary-tag;20-Jul-2001;106;13;63;0.371428571;0.250996016;Medium;High;34;0996178031.sql;996178031;1005308195.sql;1005308195;16
19;refs/tags/cvs/attic/branch-ensembl-120;3-Jan-2002;251;-;251;0;1;-;High;35;1010853154.sql;1010853154;1011179921.sql;1011179921;5
20;refs/tags/cvs/attic/RawContig;21-Jan-2002;15;13;2;0.371428571;0.007968127;Medium;Low;36;1012754820.sql;1012754820;1015855193.sql;1015855193;6
21;refs/tags/cvs/attic/date_2002-05-09;20-Mar-2002;0;-;-;0;0;-;-;36;1018540737.sql;1018540737;1019833400.sql;1019833400;2
22;refs/tags/cvs/release/ensembl/3;7-Jun-2002;83;17;34;0.485714286;0.135458167;Medium;Medium;40;1025197235.sql;1025197235;1031849012.sql;1031849012;12
23;refs/tags/cvs/attic/humpub-release-28;8-Oct-2002;9;-;9;0;0.035856574;-;Low;39;1034248135.sql;1034248135;1034248135.sql;1034248135;1
24;refs/tags/cvs/release/ensembl/5;14-Oct-2002;16;3;7;0.085714286;0.027888446;Low;Low;39;1034685946.sql;1034685946;1040639998.sql;1040639998;11
25;refs/tags/cvs/release/ensembl/9;8-Jan-2003;4;-;4;0;0.015936255;-;Low;39;1042205702.sql;1042205702;1042631031.sql;1042631031;4
26;refs/tags/cvs/attic/branch_lacespandit_8;16-Jan-2003;45;27;18;0.771428571;0.071713147;High;Medium;44;1043064164.sql;1043064164;1045260370.sql;1045260370;11
27;refs/tags/cvs/release/ensembl/10;18-Feb-2003;3;-;3;0;0.011952191;-;Low;44;1045579074.sql;1045579074;1045743737.sql;1045743737;3
28;refs/tags/cvs/release/vega/10;11-Mar-2003;14;13;1;0.371428571;0.003984064;Medium;Low;46;1047635160.sql;1047635160;1047640617.sql;1047640617;2
29;refs/tags/cvs/release/ensembl/11;18-Mar-2003;17;12;5;0.342857143;0.019920319;Medium;Low;49;1048090859.sql;1048090859;1051719873.sql;1051719873;6
30;refs/tags/cvs/release/ensembl/12;13-May-2003;15;11;2;0.314285714;0.007968127;Medium;Low;51;1053509137.sql;1053509137;1054305572.sql;1054305572;3
31;refs/tags/cvs/release/ensembl/14;30-May-2003;8;7;1;0.2;0.003984064;Low;Low;53;1055237042.sql;1055237042;1058259201.sql;1058259201;4
32;refs/tags/cvs/attic/michele_branch2;15-Jul-2003;4;-;4;0;0.015936255;-;Low;53;1058356121.sql;1058356121;1058453491.sql;1058453491;3
33;refs/tags/cvs/release/ensembl/6;12-Aug-2003;8;8;0;0.228571429;0;Low;Low;53;1061909141.sql;1061909141;1062408261.sql;1062408261;2
34;refs/tags/cvs/release/ensembl/16;19-Sep-2003;4;-;4;0;0.015936255;-;Low;53;1065192491.sql;1065192491;1065192491.sql;1065192491;1
35;refs/tags/cvs/attic/pre-seqstore-merge;8-Jan-2004;242;-;242;0;0.964143426;-;High;58;1073656202.sql;1073656202;1073656202.sql;1073656202;1
36;refs/tags/cvs/attic/branch-new-seqstore;12-Jan-2004;9;2;7;0.057142857;0.027888446;Low;Low;57;1076343079.sql;1076343079;1082381337.sql;1082381337;12
37;refs/tags/cvs/release/ensembl/20;21-Apr-2004;1;-;1;0;0.003984064;-;Low;57;1083329996.sql;1083329996;1083329996.sql;1083329996;1
38;refs/tags/cvs/release/ensembl/21;10-May-2004;6;6;0;0.171428571;0;Low;Low;59;1084282175.sql;1084282175;1084282175.sql;1084282175;1
39;refs/tags/cvs/release/ensembl/18;24-May-2004;0;-;-;0;0;-;-;59;1087209705.sql;1087209705;1088608494.sql;1088608494;2
40;refs/tags/cvs/attic/branch-registry;27-Jul-2004;2;2;0;0.057142857;0;Low;Low;59;1091543735.sql;1091543735;1092653172.sql;1092653172;4
41;refs/tags/cvs/release/vega/23-4;15-Sep-2004;8;8;0;0.228571429;0;Low;Low;59;1095679816.sql;1095679816;1096279333.sql;1096279333;2
42;refs/tags/cvs/release/vega/dev/23;6-Oct-2004;19;17;2;0.485714286;0.007968127;Medium;Low;62;1097844981.sql;1097844981;1098093482.sql;1098093482;3
43;refs/tags/cvs/release/ensembl/26;22-Nov-2004;0;-;-;0;0;-;-;62;1101377579.sql;1101377579;1101377579.sql;1101377579;1
44;refs/tags/cvs/release/vega/26-1;25-Nov-2004;1;-;1;0;0.003984064;-;Low;62;1101995557.sql;1101995557;1101995557.sql;1101995557;1
45;refs/tags/cvs/release/ensembl/27;14-Jan-2005;3;3;0;0.085714286;0;Low;Low;63;1105980912.sql;1105980912;1106150221.sql;1106150221;2
46;refs/tags/cvs/release/vega/dev/28;7-Feb-2005;34;-;34;0;0.135458167;-;Medium;63;1109255856.sql;1109255856;1109259698.sql;1109259698;2
47;refs/tags/cvs/release/ensembl/29;9-Mar-2005;17;17;0;0.485714286;0;Medium;Low;67;1111659171.sql;1111659171;1111659171.sql;1111659171;1
48;refs/tags/cvs/release/ensembl/28;29-Mar-2005;3;3;0;0.085714286;0;Low;Low;68;1112726588.sql;1112726588;1112726588.sql;1112726588;1
49;refs/tags/cvs/release/ensembl/30;11-Apr-2005;10;6;2;0.171428571;0.007968127;Low;Low;67;1113230548.sql;1113230548;1113230548.sql;1113230548;1
50;refs/tags/cvs/release/vega/dev/30;17-May-2005;3;3;0;0.085714286;0;Low;Low;67;1117012050.sql;1117012050;1117533509.sql;1117533509;2
51;refs/tags/cvs/attic/trop-workshop-1;10-Jun-2005;15;-;15;0;0.059760956;-;Low;67;1118925907.sql;1118925907;1118925907.sql;1118925907;1
52;refs/tags/cvs/release/vega/31-1;1-Aug-2005;1;1;0;0.028571429;0;Low;Low;67;1122969687.sql;1122969687;1122969687.sql;1122969687;1
53;refs/tags/cvs/release/ensembl/33;2-Sep-2005;30;10;16;0.285714286;0.06374502;Low;Medium;68;1126094007.sql;1126094007;1132738908.sql;1132738908;12
54;refs/tags/cvs/release/vega/35-1;12-Dec-2005;1;-;1;0;0.003984064;-;Low;68;1134559567.sql;1134559567;1134986295.sql;1134986295;2
55;refs/tags/cvs/attic/branch-normalized-alleles;21-Dec-2005;9;3;6;0.085714286;0.023904382;Low;Low;69;1136286037.sql;1136286037;1137414914.sql;1137414914;3
56;refs/tags/cvs/attic/branch-mysql5;13-Feb-2006;75;23;14;0.657142857;0.055776892;Medium;Low;71;1140094662.sql;1140094662;1143227301.sql;1143227301;12
57;refs/tags/cvs/attic/mapper_unique_cache_fix;2-May-2006;2;-;2;0;0.007968127;-;Low;71;1146667280.sql;1146667280;1146746010.sql;1146746010;2
58;refs/tags/cvs/release/vega/dev/37;5-May-2006;5;3;2;0.085714286;0.007968127;Low;Low;71;1147107637.sql;1147107637;1147866593.sql;1147866593;2
59;refs/tags/cvs/release/vega/38-1;26-May-2006;114;-;114;0;0.454183267;-;High;71;1149258425.sql;1149258425;1149258425.sql;1149258425;1
60;refs/tags/cvs/attic/mapper_unique_cache_fix_branch;7-Jun-2006;19;19;-;0.542857143;0;Medium;-;73;1149693384.sql;1149693384;1151491778.sql;1151491778;7
61;refs/tags/cvs/release/vega/dev/38;7-Jul-2006;1;-;1;0;0.003984064;-;Low;73;1152266163.sql;1152266163;1152266163.sql;1152266163;1
62;refs/tags/cvs/attic/pre-mapper-fix;11-Aug-2006;4;2;2;0.057142857;0.007968127;Low;Low;73;1156853772.sql;1156853772;1157015463.sql;1157015463;2
63;refs/tags/cvs/release/ensembl/38;31-Aug-2006;0;-;-;0;0;-;-;73;1157356602.sql;1157356602;1158070248.sql;1158070248;4
64;refs/tags/cvs/attic/xref-new-methods;13-Sep-2006;4;3;1;0.085714286;0.003984064;Low;Low;74;1159793189.sql;1159793189;1160664762.sql;1160664762;2
65;refs/tags/cvs/release/vega/40-1;20-Oct-2006;1;1;0;0.028571429;0;Low;Low;74;1161590442.sql;1161590442;1161590442.sql;1161590442;1
66;refs/tags/cvs/release/vega/dev/40;7-Nov-2006;0;-;-;0;0;-;-;74;1163160727.sql;1163160727;1163160727.sql;1163160727;1
67;refs/tags/cvs/release/vega/41;11-Dec-2006;3;1;2;0.028571429;0.007968127;Low;Low;74;1166452111.sql;1166452111;1168529527.sql;1168529527;6
68;refs/tags/cvs/release/ensembl/42;23-Feb-2007;25;1;24;0.028571429;0.09561753;Low;Medium;74;1172482101.sql;1172482101;1173280675.sql;1173280675;3
69;refs/tags/cvs/release/vega/dev/41;9-Mar-2007;2;-;2;0;0.007968127;-;Low;74;1173947575.sql;1173947575;1173951206.sql;1173951206;6
70;refs/tags/cvs/attic/before-refactoring;20-Mar-2007;1;-;1;0;0.003984064;-;Low;74;1175515847.sql;1175515847;1176967593.sql;1176967593;2
71;refs/tags/cvs/release/vega/43;10-May-2007;1;1;0;0.028571429;0;Low;Low;74;1180605104.sql;1180605104;1180605104.sql;1180605104;1
72;refs/tags/cvs/release/vega/dev/43;31-May-2007;1;-;1;0;0.003984064;-;Low;74;1180955101.sql;1180955101;1180955101.sql;1180955101;1
73;refs/tags/cvs/release/vega/44-2;26-Jun-2007;1;1;0;0.028571429;0;Low;Low;74;1183378856.sql;1183378856;1183457514.sql;1183457514;3
74;refs/tags/cvs/release/ensembl/44;3-Jul-2007;7;3;0;0.085714286;0;Low;Low;74;1183633794.sql;1183633794;1184344092.sql;1184344092;6
75;refs/tags/cvs/release/vega/dev/44;6-Sep-2007;6;4;2;0.114285714;0.007968127;Low;Low;74;1189603162.sql;1189603162;1189603162.sql;1189603162;1
76;refs/tags/cvs/attic/ensembl-47-mergepoint-1;29-Oct-2007;0;-;-;0;0;-;-;74;1193915361.sql;1193915361;1193915361.sql;1193915361;1
77;refs/tags/cvs/release/ensembl/47;6-Nov-2007;1;-;1;0;0.003984064;-;Low;74;1195162562.sql;1195162562;1195162562.sql;1195162562;1
78;refs/tags/cvs/release/vega/46-3;5-Dec-2007;33;1;32;0.028571429;0.12749004;Low;Medium;69;1201167647.sql;1201167647;1201171158.sql;1201171158;3
79;refs/tags/cvs/release/vega/dev/46;25-Jan-2008;0;-;-;0;0;-;-;69;1201511282.sql;1201511282;1201511282.sql;1201511282;1
80;refs/tags/cvs/release/vega/49-1;10-Apr-2008;3;1;0;0.028571429;0;Low;Low;69;1210580722.sql;1210580722;1213199487.sql;1213199487;3
81;refs/tags/cvs/release/ensembl/19;13-Jun-2008;9;7;-;0.2;0;Low;-;71;1215684454.sql;1215684454;1216392354.sql;1216392354;5
82;refs/tags/cvs/attic/multispecies-core-dev;24-Jul-2008;2;2;0;0.057142857;0;Low;Low;71;1216909127.sql;1216909127;1216909127.sql;1216909127;1
83;refs/tags/cvs/release/ensembl/49;25-Jul-2008;1;-;1;0;0.003984064;-;Low;71;1217064404.sql;1217064404;1217762307.sql;1217762307;5
84;refs/tags/cvs/attic/ianl_xref_update;2-Sep-2008;18;2;12;0.057142857;0.047808765;Low;Low;71;1225101152.sql;1225101152;1225466502.sql;1225466502;6
85;refs/tags/cvs/release/vega/49-3;28-Nov-2008;18;-;18;0;0.071713147;-;Medium;71;1231939228.sql;1231939228;1236931846.sql;1236931846;4
86;refs/tags/cvs/release/ensembl/52;5-May-2009;26;25;1;0.714285714;0.003984064;High;Low;75;1241616909.sql;1241616909;1243512638.sql;1243512638;5
87;refs/tags/cvs/release/vega/55-1;8-Jul-2009;51;-;51;0;0.203187251;-;Medium;72;1247739839.sql;1247739839;1249292574.sql;1249292574;6
88;refs/tags/cvs/release/ensembl/54;17-Aug-2009;2;-;2;0;0.007968127;-;Low;72;1253522652.sql;1253522652;1256649805.sql;1256649805;5
89;refs/tags/cvs/release/ensembl/56;11-Dec-2009;3;1;2;0.028571429;0.007968127;Low;Low;72;1260790711.sql;1260790711;1262946454.sql;1262946454;4
90;refs/tags/cvs/release/ensemblgenomes/4-56;17-Feb-2010;0;-;-;0;0;-;-;72;1268652439.sql;1268652439;1268653640.sql;1268653640;3
