id;release;ReleaseHumanDate;#TotalChanges;growth;maintenance;Norm. growth;Norm.maintenance;growth;maintenance;schemaSize;firstCommit;firstCommitDate;lastCommit;lastCommitDate;#Commits
0;Start_Of_Project;2-May-2003;10;6;-;0.428571429;0;Medium;-;18;1051916137.sql;1051916137;1068305548.sql;1068305548;6
1;refs/tags/1.1.0;8-Dec-2003;5;5;-;0.357142857;0;Low;-;19;1071351152.sql;1071351152;1077352290.sql;1077352290;4
2;refs/tags/1.2.0rc3;7-Mar-2004;3;-;3;0;0.020979021;-;Low;19;1078962234.sql;1078962234;1080114745.sql;1080114745;3
3;refs/tags/1.2.4;13-Apr-2004;1;1;0;0.071428571;0;Low;Low;19;1082255315.sql;1082255315;1082255315.sql;1082255315;1
4;refs/tags/1.2.5;3-May-2004;11;11;0;0.785714286;0;Medium;Low;22;1084066234.sql;1084066234;1085004284.sql;1085004284;4
5;refs/tags/1.3.0beta3;13-Jun-2004;3;3;-;0.214285714;0;Low;-;23;1087209624.sql;1087209624;1087312730.sql;1087312730;2
6;refs/tags/1.3.0beta4;17-Jun-2004;0;-;-;0;0;-;-;23;1087849379.sql;1087849379;1087849379.sql;1087849379;1
7;refs/tags/1.3.0beta4a;27-Jun-2004;6;6;-;0.428571429;0;Medium;-;24;1090140523.sql;1090140523;1090257671.sql;1090257671;3
8;refs/tags/1.3.0beta6;6-Aug-2004;3;2;1;0.142857143;0.006993007;Low;Low;24;1091851160.sql;1091851160;1092029891.sql;1092029891;3
9;refs/tags/1.3.1;14-Aug-2004;10;9;1;0.642857143;0.006993007;Medium;Low;26;1093335106.sql;1093335106;1093380067.sql;1093380067;2
10;refs/tags/1.3.3;9-Sep-2004;12;-;12;0;0.083916084;-;Low;26;1094899587.sql;1094899587;1096228184.sql;1096228184;4
11;refs/tags/1.3.5;30-Sep-2004;5;5;0;0.357142857;0;Low;Low;28;1096755960.sql;1096755960;1096755960.sql;1096755960;1
12;refs/tags/1.3.7;18-Oct-2004;15;-;15;0;0.104895105;-;Medium;28;1098609713.sql;1098609713;1098656452.sql;1098656452;4
13;refs/tags/1.3.8;15-Nov-2004;0;-;-;0;0;-;-;28;1101906913.sql;1101906913;1101906913.sql;1101906913;1
14;refs/tags/1.3.9;12-Dec-2004;52;2;50;0.142857143;0.34965035;Low;Medium;28;1103341631.sql;1103341631;1103443250.sql;1103443250;2
15;refs/tags/1.4.0beta4;7-Jan-2005;1;1;0;0.071428571;0;Low;Low;28;1105710439.sql;1105710439;1105710439.sql;1105710439;1
16;refs/tags/1.3.10;4-Feb-2005;0;-;-;0;0;-;-;28;1108724158.sql;1108724158;1108724158.sql;1108724158;1
