id;release;ReleaseHumanDate;#TotalChanges;growth;maintenance;Norm. growth;Norm.maintenance;growth;maintenance;schemaSize;firstCommit;firstCommitDate;lastCommit;lastCommitDate;#Commits
0;Start_Of_Project;16-Mar-2009;2797;-;2797;0;1;-;High;112;1237164239.sql;1237164239;1363950938.sql;1363950938;152
1;refs/tags/1.5.5.1;28-Apr-2013;21;15;-;0.405405405;0;Medium;-;114;1368076870.sql;1368076870;1374047007.sql;1374047007;14
2;refs/tags/1.5.6;1-Aug-2013;213;-;213;0;0.076153021;-;Medium;116;1377540369.sql;1377540369;1387839533.sql;1387839533;29
3;refs/tags/1.5.6.1;9-Jan-2014;31;12;11;0.324324324;0.003932785;Low;Low;118;1389776983.sql;1389776983;1396979583.sql;1396979583;19
4;refs/tags/1.5.6.2;10-Apr-2014;1;-;1;0;0.000357526;-;Low;118;1397308090.sql;1397308090;1397469917.sql;1397469917;2
5;refs/tags/1.5.6.3;15-Apr-2014;0;-;-;0;0;-;-;118;1398188490.sql;1398188490;1398188490.sql;1398188490;1
6;refs/tags/1.5.6.4;24-Apr-2014;37;10;27;0.27027027;0.0096532;Low;Low;120;1399044672.sql;1399044672;1407145614.sql;1407145614;31
7;refs/tags/2.0.0.0a2;6-Aug-2014;24;-;24;0;0.008580622;-;Low;120;1407417846.sql;1407417846;1407418090.sql;1407418090;2
8;refs/tags/2.0.0.0a3;8-Aug-2014;44;-;44;0;0.015731141;-;Medium;120;1407712184.sql;1407712184;1408029510.sql;1408029510;3
9;refs/tags/2.0.0.0a4;14-Aug-2014;15;-;15;0;0.005362889;-;Low;120;1408232563.sql;1408232563;1409861731.sql;1409861731;9
10;refs/tags/2.0.0.0b1;5-Sep-2014;24;7;11;0.189189189;0.003932785;Low;Low;121;1410888915.sql;1410888915;1411656748.sql;1411656748;12
11;refs/tags/2.0.0.0b2;25-Sep-2014;2;2;0;0.054054054;0;Low;Low;121;1411659316.sql;1411659316;1411857174.sql;1411857174;3
12;refs/tags/2.0.0.0b3;27-Sep-2014;0;-;-;0;0;-;-;121;1412007336.sql;1412007336;1412007336.sql;1412007336;1
13;refs/tags/2.0.0.0;1-Oct-2014;27;16;11;0.432432432;0.003932785;Medium;Low;124;1413036858.sql;1413036858;1417118794.sql;1417118794;27
14;refs/tags/2.0.1.0;30-Nov-2014;0;-;-;0;0;-;-;124;1417630732.sql;1417630732;1417756676.sql;1417756676;3
15;refs/tags/2.0.1.1;6-Dec-2014;0;-;-;0;0;-;-;124;1422783860.sql;1422783860;1422783860.sql;1422783860;1
16;refs/tags/2.0.2.0;30-Mar-2015;54;-;54;0;0.0193064;-;Medium;123;1427887069.sql;1427887069;1430199263.sql;1430199263;4
17;refs/tags/2.0.3.0;20-May-2015;0;-;-;0;0;-;-;123;1432308369.sql;1432308369;1432738625.sql;1432738625;2
18;refs/tags/2.0.3.1;27-May-2015;23;9;10;0.243243243;0.003575259;Low;Low;124;1432988149.sql;1432988149;1441297562.sql;1441297562;21
19;refs/tags/2.1.0.0_rc1;8-Sep-2015;13;12;1;0.324324324;0.000357526;Low;Low;126;1442307004.sql;1442307004;1443116357.sql;1443116357;6
20;refs/tags/2.1.0.0;27-Sep-2015;0;-;-;0;0;-;-;126;1444134102.sql;1444134102;1444134102.sql;1444134102;1
21;refs/tags/2.1.0.1;6-Oct-2015;5;-;5;0;0.00178763;-;Low;126;1444226874.sql;1444226874;1451277757.sql;1451277757;14
22;refs/tags/2.1.0.2;30-Dec-2015;2;-;2;0;0.000715052;-;Low;126;1451541199.sql;1451541199;1453384386.sql;1453384386;17
23;refs/tags/2.2.0.0_a1;22-Jan-2016;0;-;-;0;0;-;-;126;1453672797.sql;1453672797;1453672797.sql;1453672797;1
24;refs/tags/2.2.0.0_b1;16-Feb-2016;1;1;0;0.027027027;0;Low;Low;126;1455798046.sql;1455798046;1455798046.sql;1455798046;1
25;refs/tags/2.2.0.0;2-Mar-2016;71;37;14;1;0.005005363;High;Low;131;1457695428.sql;1457695428;1467707864.sql;1467707864;33
26;refs/tags/2.3.0.2;1-Aug-2016;2;-;2;0;0.000715052;-;Low;131;1475192397.sql;1475192397;1479328558.sql;1479328558;2
