id;release;ReleaseHumanDate;#TotalChanges;growth;maintenance;Norm. growth;Norm.maintenance;growth;maintenance;schemaSize;firstCommit;firstCommitDate;lastCommit;lastCommitDate;#Commits
0;refs/tags/release-2.0.3;28-Sep-2002;0;-;-;0;0;-;-;25;1038403486.sql;1038403486;1038403486.sql;1038403486;1
1;refs/tags/release-2.0.4;15-Jan-2003;0;-;-;0;0;-;-;25;1055590723.sql;1055590723;1055590723.sql;1055590723;1
2;refs/tags/release-2.0.14;18-Apr-2005;708;317;85;1;0.145299145;High;Low;58;1115312467.sql;1115312467;1115475554.sql;1115475554;2
3;refs/tags/release-2.0.16;28-Jun-2005;7;7;0;0.022082019;0;Medium;Low;60;1120486423.sql;1120486423;1120486423.sql;1120486423;1
4;refs/tags/release-2.0.17;8-Aug-2005;14;-;14;0;0.023931624;-;Low;60;1128376376.sql;1128376376;1128461164.sql;1128461164;2
5;refs/tags/olympus_milestone_3;4-Oct-2005;5;3;2;0.009463722;0.003418803;Low;Low;61;1129744810.sql;1129744810;1129744810.sql;1129744810;1
6;refs/tags/release-2.0.18;31-Oct-2005;2;1;1;0.003154574;0.001709402;Low;Low;61;1131477859.sql;1131477859;1135791320.sql;1135791320;2
7;refs/tags/release-2.0.19;30-Dec-2005;59;-;59;0;0.100854701;-;Low;62;1136587814.sql;1136587814;1142629352.sql;1142629352;8
8;refs/tags/olympus_milestone_4;19-Mar-2006;15;-;15;0;0.025641026;-;Low;62;1142969014.sql;1142969014;1143288433.sql;1143288433;2
9;refs/tags/release-2.0.20;5-Apr-2006;107;-;107;0;0.182905983;-;Medium;62;1144343745.sql;1144343745;1148844253.sql;1148844253;16
10;refs/tags/release-2.0.21;30-May-2006;86;-;86;0;0.147008547;-;Medium;61;1149025572.sql;1149025572;1150476891.sql;1150476891;5
11;refs/tags/release-3.0-B1;17-Jun-2006;336;-;336;0;0.574358974;-;High;61;1150762185.sql;1150762185;1155395443.sql;1155395443;18
12;refs/tags/release-3.0-B2;12-Aug-2006;94;6;82;0.018927445;0.14017094;Medium;Low;61;1156175928.sql;1156175928;1163166592.sql;1163166592;11
13;refs/tags/release-3.0-B3;12-Nov-2006;5;2;3;0.006309148;0.005128205;Low;Low;61;1163604950.sql;1163604950;1164484856.sql;1164484856;3
14;refs/tags/release-3.0-B4;27-Nov-2006;4;2;2;0.006309148;0.003418803;Low;Low;61;1165167419.sql;1165167419;1166896248.sql;1166896248;3
15;refs/tags/release-2.0.22;23-Dec-2006;7;-;7;0;0.011965812;-;Low;61;1167177999.sql;1167177999;1169114439.sql;1169114439;4
16;refs/tags/release-3.0-B5;28-Jan-2007;106;7;99;0.022082019;0.169230769;Medium;Medium;62;1172174285.sql;1172174285;1178543999.sql;1178543999;9
17;refs/tags/release-3.0-RC1;20-May-2007;0;-;-;0;0;-;-;62;1179963424.sql;1179963424;1179963424.sql;1179963424;1
18;refs/tags/release-3.0-RC2;24-Jun-2007;2;-;2;0;0.003418803;-;Low;62;1183439579.sql;1183439579;1183439579.sql;1183439579;1
19;refs/tags/release-3.0-RC3;8-Jul-2007;1;-;1;0;0.001709402;-;Low;62;1185623222.sql;1185623222;1185623222.sql;1185623222;1
20;refs/tags/release-3.0-RC4;28-Jul-2007;0;-;-;0;0;-;-;62;1185913659.sql;1185913659;1185913659.sql;1185913659;1
21;refs/tags/release-3.0-RC5;24-Aug-2007;4;1;3;0.003154574;0.005128205;Low;Low;62;1191423954.sql;1191423954;1191669642.sql;1191669642;3
22;refs/tags/release-3.0-RC6;13-Oct-2007;4;-;4;0;0.006837607;-;Low;62;1192363952.sql;1192363952;1192376804.sql;1192376804;2
23;refs/tags/release-3.0.0;12-Dec-2007;9;1;6;0.003154574;0.01025641;Low;Low;62;1199774645.sql;1199774645;1202079310.sql;1202079310;2
24;refs/tags/release-2.0.23;24-Feb-2008;1;1;0;0.003154574;0;Low;Low;62;1206189077.sql;1206189077;1206189077.sql;1206189077;1
25;refs/tags/release-3.0.2-RC1;14-Jun-2008;6;-;6;0;0.01025641;-;Low;62;1214064253.sql;1214064253;1214064253.sql;1214064253;1
26;refs/tags/release-3.0.2;10-Jul-2008;3;3;0;0.009463722;0;Low;Low;62;1217334967.sql;1217334967;1222175013.sql;1222175013;3
27;refs/tags/release-3.0.3;12-Nov-2008;13;1;12;0.003154574;0.020512821;Low;Low;62;1227729515.sql;1227729515;1227793464.sql;1227793464;2
28;refs/tags/olympus_merge_point_20082412;24-Dec-2008;0;-;-;0;0;-;-;62;1237555339.sql;1237555339;1237555339.sql;1237555339;1
29;refs/tags/release-3.0.5;31-May-2009;9;9;0;0.028391167;0;High;Low;62;1244464586.sql;1244464586;1252085233.sql;1252085233;10
30;refs/tags/release-3.0.6-RC2;25-Sep-2009;0;-;-;0;0;-;-;62;1254680099.sql;1254680099;1254680099.sql;1254680099;1
31;refs/tags/release-3.0.6;17-Nov-2009;0;-;-;0;0;-;-;62;1264444924.sql;1264444924;1264720525.sql;1264720525;2
32;refs/tags/release-3.0.7;28-Feb-2010;0;-;-;0;0;-;-;62;1267655529.sql;1267655529;1267655529.sql;1267655529;1
33;refs/tags/release-3.0.7-PL1;5-Mar-2010;108;-;108;0;0.184615385;-;Medium;62;1276837098.sql;1276837098;1287500783.sql;1287500783;3
34;refs/tags/release-3.0.8;19-Nov-2010;78;-;78;0;0.133333333;-;Low;63;1294765945.sql;1294765945;1307924435.sql;1307924435;9
35;refs/tags/release-3.0.9-RC3;26-Jun-2011;7;-;7;0;0.011965812;-;Low;63;1309673740.sql;1309673740;1309820842.sql;1309820842;2
36;refs/tags/release-3.0.9;10-Jul-2011;156;-;156;0;0.266666667;-;Medium;61;1310745473.sql;1310745473;1321640046.sql;1321640046;9
37;refs/tags/release-3.0.10;2-Jan-2012;30;5;15;0.015772871;0.025641026;Medium;Low;59;1328302464.sql;1328302464;1335433057.sql;1335433057;8
38;refs/tags/release-3.0.11-RC1;31-May-2012;105;-;105;0;0.179487179;-;Medium;59;1338826175.sql;1338826175;1343051454.sql;1343051454;4
39;refs/tags/release-3.0.11;20-Aug-2012;585;-;585;0;1;-;High;65;1346184335.sql;1346184335;1373535708.sql;1373535708;45
40;refs/tags/release-3.0.12-RC1;13-Jul-2013;7;7;0;0.022082019;0;Medium;Low;67;1374632153.sql;1374632153;1374632782.sql;1374632782;3
41;refs/tags/release-3.0.12-RC3;2-Sep-2013;1;-;1;0;0.001709402;-;Low;67;1380271630.sql;1380271630;1380271630.sql;1380271630;1
42;refs/tags/release-3.0.12;28-Sep-2013;3;-;3;0;0.005128205;-;Low;67;1381485568.sql;1381485568;1381656839.sql;1381656839;2
43;refs/tags/release-3.1.0-a2;18-Nov-2013;4;-;4;0;0.006837607;-;Low;67;1388321202.sql;1388321202;1389991988.sql;1389991988;2
44;refs/tags/release-3.1.0-a3;24-Jan-2014;45;-;45;0;0.076923077;-;Low;67;1391352109.sql;1391352109;1394054002.sql;1394054002;15
