id;release;ReleaseHumanDate;#TotalChanges;growth;maintenance;Norm. growth;Norm.maintenance;growth;maintenance;schemaSize;firstCommit;firstCommitDate;lastCommit;lastCommitDate;#Commits
0;refs/tags/Start;3-Oct-2003;0;-;-;0;0;-;-;10;1067188064.sql;1067188064;1067188064.sql;1067188064;1
1;refs/tags/Root_AuthServices;19-Dec-2003;3;3;0;0.019480519;0;Low;Low;10;1079968597.sql;1079968597;1082715510.sql;1082715510;3
2;refs/tags/TYPO3_3-6-0RC2;26-Apr-2004;6;6;0;0.038961039;0;Low;Low;11;1083328733.sql;1083328733;1083328733.sql;1083328733;1
3;refs/tags/ext_lang_beforellxml;6-Jun-2004;1;-;1;0;0.006289308;-;Low;11;1086679320.sql;1086679320;1086679320.sql;1086679320;1
4;refs/tags/TYPO3_3-6-2;12-Jul-2004;15;15;-;0.097402597;0;Medium;-;12;1091914059.sql;1091914059;1093298597.sql;1093298597;2
5;refs/tags/TYPO3_3-7-0;24-Sep-2004;1;-;1;0;0.006289308;-;Low;12;1100515748.sql;1100515748;1106395395.sql;1106395395;2
6;refs/tags/TYPO3_3-8-0beta1;5-Apr-2005;1;-;1;0;0.006289308;-;Low;12;1112800758.sql;1112800758;1113773932.sql;1113773932;2
7;refs/tags/TYPO3_3-8-0beta2;18-Apr-2005;0;-;-;0;0;-;-;12;1114595876.sql;1114595876;1114595876.sql;1114595876;1
8;refs/tags/TYPO3_3-8-0;22-May-2005;44;44;-;0.285714286;0;High;-;14;1128427400.sql;1128427400;1134829582.sql;1134829582;5
9;refs/tags/TYPO3_4-0-0;7-Apr-2006;7;5;2;0.032467532;0.012578616;Low;Low;15;1144661235.sql;1144661235;1151493952.sql;1151493952;2
10;refs/tags/TYPO3_4-0-1;1-Aug-2006;32;-;32;0;0.201257862;-;High;15;1157065759.sql;1157065759;1157065759.sql;1157065759;1
11;refs/tags/TYPO3_4-0-2;24-Sep-2006;10;8;2;0.051948052;0.012578616;Low;Low;18;1161772027.sql;1161772027;1165163203.sql;1165163203;3
12;refs/tags/TYPO3_4-0-3;11-Dec-2006;21;20;1;0.12987013;0.006289308;Medium;Low;19;1165924672.sql;1165924672;1167900371.sql;1167900371;3
13;refs/tags/TYPO3_4-0-4;11-Jan-2007;7;-;7;0;0.044025157;-;Low;19;1170058443.sql;1170058443;1170608262.sql;1170608262;4
14;refs/tags/TYPO3_4-1-0RC1;7-Feb-2007;1;-;1;0;0.006289308;-;Low;19;1171995584.sql;1171995584;1172003810.sql;1172003810;2
15;refs/tags/TYPO3_4-1-0RC2;21-Feb-2007;0;-;-;0;0;-;-;19;1173138875.sql;1173138875;1173138875.sql;1173138875;1
16;refs/tags/TYPO3_4-1-0;6-Mar-2007;17;-;17;0;0.106918239;-;Medium;19;1173729537.sql;1173729537;1175541203.sql;1175541203;2
17;refs/tags/TYPO3_4-0-7;16-Jul-2007;1;1;0;0.006493506;0;Low;Low;19;1188402758.sql;1188402758;1188402758.sql;1188402758;1
18;refs/tags/TYPO3_4-1-6;3-Mar-2008;0;-;-;0;0;-;-;19;1205684531.sql;1205684531;1210750133.sql;1210750133;2
19;refs/tags/TYPO3_4-2-0;24-May-2008;1;1;0;0.006493506;0;Low;Low;19;1212685878.sql;1212685878;1212685878.sql;1212685878;1
20;refs/tags/TYPO3_4-2-2;6-Oct-2008;16;3;7;0.019480519;0.044025157;Low;Low;19;1224535185.sql;1224535185;1226165554.sql;1226165554;4
21;refs/tags/TYPO3_4-3-0alpha1;12-Nov-2008;1;1;0;0.006493506;0;Low;Low;19;1229794351.sql;1229794351;1229794351.sql;1229794351;1
22;refs/tags/TYPO3_4-2-6;10-Feb-2009;1;-;1;0;0.006289308;-;Low;19;1236526766.sql;1236526766;1236717367.sql;1236717367;2
23;refs/tags/TYPO3_4-2-8;3-Jul-2009;24;13;11;0.084415584;0.06918239;Medium;Low;22;1246895196.sql;1246895196;1253538661.sql;1253538661;8
24;refs/tags/TYPO3_4-3-0beta1;1-Oct-2009;0;-;-;0;0;-;-;22;1255953049.sql;1255953049;1255953049.sql;1255953049;1
25;refs/tags/TYPO3_4-3-0RC1;18-Nov-2009;1;-;1;0;0.006289308;-;Low;22;1259148454.sql;1259148454;1259148454.sql;1259148454;1
26;refs/tags/TYPO3_4-2-11;14-Jan-2010;1;1;0;0.006493506;0;Low;Low;22;1266778467.sql;1266778467;1266778467.sql;1266778467;1
27;refs/tags/TYPO3_4-4-0beta1;15-Apr-2010;1;-;1;0;0.006289308;-;Low;22;1271763028.sql;1271763028;1271763028.sql;1271763028;1
28;refs/tags/TYPO3_4-1-15;6-Aug-2010;1;-;1;0;0.006289308;-;Low;22;1281440335.sql;1281440335;1281440335.sql;1281440335;1
29;refs/tags/TYPO3_4-5-0alpha2;22-Sep-2010;12;11;1;0.071428571;0.006289308;Low;Low;23;1285331382.sql;1285331382;1285667687.sql;1285667687;2
30;refs/tags/TYPO3_4-3-8;12-Oct-2010;33;33;0;0.214285714;0;Medium;Low;23;1287146991.sql;1287146991;1287146991.sql;1287146991;1
31;refs/tags/TYPO3_4-5-0alpha3;20-Oct-2010;23;2;21;0.012987013;0.132075472;Low;Medium;22;1289605813.sql;1289605813;1289908073.sql;1289908073;3
32;refs/tags/TYPO3_4-4-5;16-Dec-2010;1;-;1;0;0.006289308;-;Low;22;1293357521.sql;1293357521;1293357521.sql;1293357521;1
33;refs/tags/TYPO3_4-5-0beta4;13-Jan-2011;32;-;32;0;0.201257862;-;High;18;1295001061.sql;1295001061;1295608759.sql;1295608759;4
34;refs/tags/TYPO3_4-5-2;25-Feb-2011;0;-;-;0;0;-;-;18;1301043546.sql;1301043546;1301043546.sql;1301043546;1
35;refs/tags/TYPO3_4-6-0alpha2;15-Jun-2011;13;-;13;0;0.081761006;-;Medium;15;1308430834.sql;1308430834;1308866418.sql;1308866418;2
36;refs/tags/TYPO3_4-6-0alpha3;12-Jul-2011;7;-;7;0;0.044025157;-;Low;14;1310683841.sql;1310683841;1310925635.sql;1310925635;3
37;refs/tags/TYPO3_4-5-4;27-Jul-2011;1;-;1;0;0.006289308;-;Low;14;1312055981.sql;1312055981;1312055981.sql;1312055981;1
38;refs/tags/TYPO3_4-6-0beta1;2-Aug-2011;0;-;-;0;0;-;-;14;1313328727.sql;1313328727;1313328727.sql;1313328727;1
39;refs/tags/TYPO3_4-5-6;14-Sep-2011;0;-;-;0;0;-;-;14;1316175106.sql;1316175106;1316175106.sql;1316175106;1
40;refs/tags/TYPO3_4-4-12;22-Nov-2011;34;34;0;0.220779221;0;Medium;Low;16;1322548223.sql;1322548223;1322548223.sql;1322548223;1
41;refs/tags/TYPO3_4-6-4;24-Jan-2012;2;1;1;0.006493506;0.006289308;Low;Low;16;1327929355.sql;1327929355;1330377229.sql;1330377229;3
42;refs/tags/TYPO3_4-6-5;6-Mar-2012;2;2;0;0.012987013;0;Low;Low;16;1331622562.sql;1331622562;1331622562.sql;1331622562;1
43;refs/tags/TYPO3_4-7-0rc2;17-Apr-2012;124;123;1;0.798701299;0.006289308;High;Low;21;1334938737.sql;1334938737;1334938737.sql;1334938737;1
44;refs/tags/TYPO3_6-0-0alpha2;27-Jun-2012;1;-;1;0;0.006289308;-;Low;21;1341344497.sql;1341344497;1341344497.sql;1341344497;1
45;refs/tags/TYPO3_4-7-2;4-Jul-2012;31;31;0;0.201298701;0;Medium;Low;23;1341578094.sql;1341578094;1341578094.sql;1341578094;1
46;refs/tags/TYPO3_6-0-0alpha3;25-Jul-2012;159;-;159;0;1;-;High;16;1343552856.sql;1343552856;1343552856.sql;1343552856;1
47;refs/tags/TYPO3_4-5-18;8-Aug-2012;174;154;20;1;0.125786164;High;Medium;23;1344501960.sql;1344501960;1344889416.sql;1344889416;3
48;refs/tags/TYPO3_6-0-0beta1;30-Aug-2012;10;10;0;0.064935065;0;Low;Low;23;1346516439.sql;1346516439;1346766240.sql;1346766240;2
49;refs/tags/TYPO3_4-5-20;16-Oct-2012;11;-;11;0;0.06918239;-;Low;23;1350660012.sql;1350660012;1350660012.sql;1350660012;1
50;refs/tags/TYPO3_4-7-7;12-Nov-2012;11;7;0;0.045454545;0;Low;Low;23;1353430346.sql;1353430346;1353430346.sql;1353430346;1
51;refs/tags/TYPO3_6-0-1;29-Jan-2013;11;-;11;0;0.06918239;-;Low;23;1360772890.sql;1360772890;1360772890.sql;1360772890;1
